Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Rarely,532,Research & Development,1,3,Life Sciences,1,583,3,Male,72,2,3,Sales Executive,2,Married,3100,14398,0,Y,No,11,4,2,80,0,9,2,3,0,5,1,2
44,No,Travel_Rarely,485,Research & Development,4,1,Medical,1,960,2,Female,91,3,1,Healthcare Representative,4,Married,17827,5399,2,Y,No,11,3,3,80,1,0,3,2,3,0,13,7
57,No,Travel_Frequently,486,Research & Development,2,3,Medical,1,1830,2,Female,88,4,2,Manufacturing Director,4,Divorced,13230,16440,1,Y,No,13,3,4,80,1,11,2,4,37,3,0,9
30,No,Non-Travel,549,Research & Development,3,3,Life Sciences,1,1005,3,Male,60,3,1,Laboratory Technician,3,Married,7029,11066,3,Y,No,13,3,3,80,0,11,4,3,6,4,10,6
34,No,Travel_Rarely,1006,Research & Development,1,3,Marketing,1,1377,3,Female,83,3,2,Laboratory Technician,4,Married,4970,21126,1,Y,No,14,3,1,80,1,13,2,2,6,0,0,3
43,No,Non-Travel,628,Research & Development,1,4,Life Sciences,1,1727,1,Male,44,4,1,Research Scientist,4,Married,3768,12252,3,Y,No,13,3,1,80,1,12,3,2,0,0,2,4
33,No,Travel_Rarely,745,Sales,4,4,Life Sciences,1,1163,4,Female,46,2,1,Sales Executive,3,Single,15222,11032,1,Y,No,12,4,4,80,1,5,2,2,4,4,1,3
27,Yes,Travel_Rarely,638,Sales,14,2,Life Sciences,1,1939,1,Male,89,3,3,Healthcare Representative,4,Married,6802,15652,6,Y,Yes,11,4,2,80,2,18,3,2,6,1,0,11
28,No,Travel_Rarely,1320,Sales,1,1,Life Sciences,1,38,1,Male,42,2,2,Laboratory Technician,3,Single,4089,20642,5,Y,No,21,4,3,80,2,0,4,3,0,1,0,3
47,No,Non-Travel,542,Sales,8,4,Medical,1,991,3,Male,85,3,1,Research Scientist,3,Single,1009,3413,9,Y,No,14,3,2,80,0,1,2,3,3,2,3,1
41,Yes,Travel_Rarely,853,Research & Development,13,4,Life Sciences,1,927,3,Male,41,2,4,Sales Executive,2,Married,5847,13923,1,Y,Yes,15,3,4,80,0,2,3,3,5,1,6,3
38,No,Travel_Rarely,708,Research & Development,1,3,Medical,1,693,4,Female,52,3,5,Research Scientist,3,Single,2988,4075,1,Y,No,12,3,2,80,1,14,3,3,8,2,7,2
31,No,Travel_Rarely,319,Sales,16,3,Medical,1,1819,3,Female,76,3,3,Laboratory Technician,3,Divorced,3364,8859,3,Y,No,17,3,4,80,2,7,3,3,11,2,1,4
38,No,Travel_Rarely,693,Human Resources,2,4,Life Sciences,1,1259,4,Male,57,3,2,Manufacturing Director,3,Married,5844,21111,0,Y,No,12,3,1,80,2,7,2,2,8,7,0,2
31,No,Travel_Rarely,1204,Research & Development,24,5,Medical,1,2019,4,Female,98,3,3,Laboratory Technician,3,Married,4496,7001,1,Y,No,12,3,2,80,1,0,2,3,0,11,0,2
49,No,Travel_Frequently,1055,Research & Development,23,3,Medical,1,749,2,Female,80,2,4,Research Scientist,3,Married,5396,14900,1,Y,No,11,3,1,80,3,10,2,2,5,3,0,1
52,No,Travel_Frequently,1024,Research & Development,5,4,Human Resources,1,1869,3,Female,55,3,2,Manager,4,Married,3816,16394,1,Y,No,12,3,4,80,1,7,3,2,8,5,1,0
24,No,Travel_Rarely,744,Research & Development,3,2,Human Resources,1,1454,4,Male,72,3,2,Research Director,4,Single,2350,18182,1,Y,No,18,4,1,80,1,29,5,3,13,7,0,8
48,No,Travel_Frequently,950,Research & Development,1,4,Life Sciences,1,1370,2,Female,67,3,2,Sales Executive,3,Single,4945,19982,1,Y,No,12,3,4,80,0,14,6,3,4,5,6,5
36,Yes,Travel_Rarely,283,Research & Development,1,3,Other,1,913,1,Male,43,3,3,Sales Executive,2,Married,14976,7022,5,Y,Yes,15,3,4,80,0,4,3,3,10,2,0,0
48,No,Travel_Rarely,776,Research & Development,1,3,Life Sciences,1,684,4,Male,54,4,2,Sales Representative,4,Married,8779,2094,2,Y,Yes,22,4,2,80,2,6,3,3,8,6,0,0
28,No,Travel_Rarely,1346,Sales,14,4,Life Sciences,1,866,3,Male,34,3,2,Sales Executive,4,Married,7560,19984,7,Y,No,19,3,1,80,0,5,4,3,9,2,5,3
33,No,Travel_Rarely,1472,Research & Development,12,3,Marketing,1,1761,2,Male,41,3,1,Sales Executive,3,Divorced,2968,5432,8,Y,No,22,3,4,80,2,21,2,3,4,7,0,6
18,No,Travel_Rarely,1068,Research & Development,1,2,Medical,1,661,4,Female,75,1,1,Laboratory Technician,1,Single,4792,9840,1,Y,No,14,4,3,80,1,5,4,3,9,14,2,0
47,No,Travel_Rarely,1085,Sales,1,1,Marketing,1,1633,1,Male,60,2,4,Manufacturing Director,1,Single,2917,7530,8,Y,No,11,3,4,80,3,6,4,3,8,4,10,4
34,No,Travel_Frequently,706,Research & Development,17,2,Marketing,1,1085,4,Male,74,1,1,Manufacturing Director,3,Single,17646,4983,8,Y,No,12,3,2,80,0,23,2,3,8,0,2,3
22,No,Travel_Rarely,536,Research & Development,29,3,Life Sciences,1,65,1,Female,97,2,4,Manufacturing Director,3,Divorced,4784,21588,1,Y,No,14,3,3,80,2,12,5,2,8,0,0,8
41,No,Travel_Rarely,292,Research & Development,1,1,Medical,1,613,2,Female,51,3,1,Sales Representative,3,Divorced,13545,11748,1,Y,No,11,4,2,80,0,8,2,3,10,4,1,8
18,No,Travel_Rarely,1270,Sales,1,3,Technical Degree,1,213,3,Male,30,2,2,Research Scientist,4,Married,1889,4431,3,Y,No,15,3,3,80,0,2,5,2,5,2,0,4
33,No,Travel_Rarely,126,Research & Development,3,3,Medical,1,1453,4,Female,64,4,2,Laboratory Technician,4,Divorced,2665,14916,7,Y,Yes,14,3,2,80,0,7,2,3,6,2,1,3
40,No,Non-Travel,494,Research & Development,22,2,Life Sciences,1,2,2,Female,42,3,2,Sales Representative,3,Single,5303,11231,3,Y,No,12,4,4,80,1,6,2,2,4,8,11,2
30,No,Travel_Frequently,1198,Sales,2,4,Human Resources,1,1195,4,Male,59,2,1,Research Scientist,2,Divorced,2599,5691,2,Y,No,12,4,3,80,0,12,5,4,10,3,2,5
40,No,Travel_Rarely,157,Research & Development,22,4,Technical Degree,1,651,4,Male,93,3,4,Laboratory Technician,4,Married,2705,8497,1,Y,No,17,3,1,80,0,10,0,3,6,3,1,0
40,Yes,Travel_Rarely,1187,Research & Development,16,4,Medical,1,986,4,Female,65,2,3,Healthcare Representative,4,Single,1816,5356,1,Y,Yes,15,3,2,80,2,5,2,1,3,3,0,6
39,Yes,Travel_Frequently,396,Sales,18,3,Life Sciences,1,1149,3,Male,78,2,3,Manufacturing Director,3,Married,3696,8879,0,Y,Yes,13,3,4,80,1,16,2,3,0,2,9,12
27,No,Travel_Rarely,1499,Research & Development,14,4,Life Sciences,1,82,1,Female,75,1,1,Sales Executive,4,Married,4956,8638,0,Y,No,19,3,1,80,0,25,4,3,8,8,0,2
35,Yes,Travel_Rarely,1492,Sales,5,2,Medical,1,1239,2,Male,67,3,1,Sales Executive,2,Divorced,6331,18971,1,Y,Yes,12,3,3,80,0,10,3,3,9,8,0,9
22,No,Travel_Frequently,1499,Research & Development,29,4,Other,1,1605,4,Female,94,3,2,Laboratory Technician,4,Married,7706,7739,2,Y,No,18,3,3,80,3,11,3,3,2,9,6,0
25,No,Travel_Rarely,1094,Research & Development,2,3,Life Sciences,1,137,3,Male,61,3,1,Human Resources,4,Married,5166,5796,1,Y,Yes,11,3,4,80,2,11,2,3,4,3,0,3
40,Yes,Travel_Rarely,387,Human Resources,7,3,Life Sciences,1,1552,2,Female,76,3,2,Research Scientist,1,Single,1562,3668,0,Y,Yes,19,3,2,80,1,5,5,3,2,0,5,2
48,No,Travel_Rarely,791,Sales,5,3,Human Resources,1,1568,3,Female,83,3,3,Research Director,3,Single,15051,9984,1,Y,No,23,4,2,80,1,18,1,3,7,3,1,7
52,No,Travel_Rarely,946,Research & Development,5,2,Medical,1,986,2,Male,37,4,1,Healthcare Representative,2,Single,5037,19322,1,Y,No,12,3,2,80,0,5,2,3,1,3,1,3
26,No,Travel_Rarely,956,Research & Development,3,4,Marketing,1,273,1,Male,67,3,2,Research Scientist,1,Divorced,6575,20361,1,Y,No,11,3,4,80,1,35,3,3,4,0,0,1
28,No,Travel_Frequently,619,Research & Development,17,3,Life Sciences,1,1440,3,Male,79,1,1,Manager,4,Married,16953,3538,9,Y,Yes,14,3,4,80,1,10,4,3,10,0,9,0
51,No,Travel_Rarely,1181,Research & Development,18,3,Marketing,1,1871,4,Female,43,2,3,Sales Executive,2,Married,3186,6430,1,Y,Yes,12,3,3,80,1,23,0,3,2,3,9,2
30,No,Travel_Frequently,543,Research & Development,1,3,Life Sciences,1,1430,4,Female,76,3,3,Research Director,1,Married,2755,20279,9,Y,No,14,3,3,80,2,9,3,4,3,3,8,0
36,No,Travel_Frequently,896,Sales,7,3,Life Sciences,1,1185,3,Male,54,2,1,Human Resources,1,Divorced,3176,12977,1,Y,No,12,4,1,80,1,18,4,3,9,1,7,3
18,No,Travel_Rarely,608,Research & Development,15,3,Life Sciences,1,510,2,Male,50,3,5,Human Resources,3,Married,4256,11036,2,Y,No,16,3,4,80,0,12,6,3,4,0,0,8
31,Yes,Travel_Rarely,1413,Research & Development,5,4,Life Sciences,1,2068,1,Male,75,4,1,Human Resources,2,Single,1723,13934,1,Y,Yes,15,3,3,80,0,18,0,2,13,1,0,6
32,Yes,Travel_Rarely,102,Research & Development,9,1,Life Sciences,1,505,2,Male,76,3,3,Laboratory Technician,4,Single,2651,24546,3,Y,Yes,16,4,4,80,0,15,5,2,0,7,2,3
38,No,Travel_Frequently,1497,Sales,6,1,Medical,1,1366,1,Male,51,1,1,Sales Representative,3,Divorced,1689,22485,7,Y,No,12,3,4,80,1,11,2,2,8,9,0,2
36,No,Travel_Frequently,340,Sales,27,4,Medical,1,2056,4,Male,89,1,3,Research Director,4,Married,19775,8862,1,Y,No,17,3,1,80,0,16,3,3,0,0,0,8
38,No,Travel_Rarely,1140,Research & Development,3,4,Medical,1,671,3,Female,57,2,2,Manufacturing Director,2,Married,12985,8609,0,Y,No,13,3,2,80,1,6,0,3,12,0,0,7
34,No,Travel_Rarely,692,Research & Development,29,3,Technical Degree,1,1606,4,Male,38,2,2,Manufacturing Director,1,Single,5842,16204,4,Y,No,11,4,2,80,2,10,2,2,1,7,7,2
30,No,Travel_Rarely,1178,Research & Development,2,3,Other,1,697,3,Male,57,3,1,Sales Representative,4,Divorced,4618,9029,2,Y,No,19,4,4,80,2,11,1,3,12,2,1,4
32,Yes,Travel_Frequently,1212,Research & Development,20,4,Life Sciences,1,1314,3,Female,64,4,3,Sales Executive,1,Married,5914,3134,0,Y,Yes,17,3,2,80,1,5,2,3,11,3,1,1
46,No,Travel_Rarely,1362,Research & Development,24,3,Life Sciences,1,1409,4,Male,91,2,1,Research Director,4,Married,1009,13141,0,Y,No,24,3,3,80,1,9,2,2,6,2,0,2
29,Yes,Travel_Rarely,1137,Sales,29,3,Technical Degree,1,1569,4,Male,48,4,2,Sales Executive,1,Married,8925,5652,1,Y,Yes,12,3,4,80,0,9,3,3,1,1,0,2
36,No,Travel_Rarely,147,Research & Development,8,2,Other,1,1108,4,Male,100,3,2,Research Scientist,3,Single,7648,9745,8,Y,No,21,3,3,80,1,14,0,3,9,7,1,13
40,Yes,Travel_Rarely,250,Research & Development,7,1,Marketing,1,92,3,Female,82,2,1,Manager,4,Single,4739,20434,0,Y,Yes,13,4,3,80,0,11,2,3,0,8,1,2
33,No,Travel_Rarely,1136,Sales,1,4,Life Sciences,1,557,4,Male,47,4,1,Sales Executive,3,Single,3529,20654,8,Y,Yes,13,3,3,80,3,3,1,2,18,8,1,7
40,Yes,Travel_Frequently,1309,Research & Development,16,4,Life Sciences,1,1557,3,Female,40,2,1,Sales Executive,3,Married,3172,19487,1,Y,Yes,13,3,3,80,0,4,3,3,23,3,7,16
40,No,Travel_Frequently,471,Human Resources,2,4,Life Sciences,1,1510,3,Male,70,3,2,Research Scientist,4,Single,4481,17871,7,Y,No,18,3,4,80,1,10,2,3,1,1,2,3
38,No,Travel_Rarely,610,Sales,4,3,Life Sciences,1,965,4,Female,43,3,2,Research Scientist,2,Married,11640,21066,1,Y,Yes,12,3,2,80,1,4,2,3,3,2,0,6
31,No,Travel_Rarely,769,Research & Development,10,3,Life Sciences,1,345,3,Male,74,1,3,Research Director,4,Married,7082,5020,4,Y,No,18,3,4,80,0,9,2,2,3,8,0,1
34,Yes,Travel_Rarely,831,Sales,16,4,Marketing,1,879,2,Female,72,3,1,Manufacturing Director,1,Divorced,2530,14885,6,Y,Yes,14,4,2,80,1,12,2,2,4,4,0,7
35,No,Travel_Rarely,538,Research & Development,11,2,Medical,1,1409,3,Male,39,2,1,Manager,3,Divorced,1936,25171,3,Y,No,20,3,3,80,3,16,3,3,9,0,3,4
35,No,Travel_Rarely,1289,Research & Development,4,5,Life Sciences,1,1826,3,Female,68,2,2,Research Scientist,2,Married,2141,5367,3,Y,No,15,3,1,80,0,6,3,3,7,0,2,3
36,No,Travel_Frequently,178,Sales,12,5,Medical,1,830,4,Male,97,3,2,Laboratory Technician,4,Married,1009,10098,0,Y,No,16,4,1,80,0,32,2,3,3,0,2,9
38,Yes,Travel_Rarely,626,Sales,20,3,Medical,1,84,4,Female,47,4,1,Research Scientist,4,Single,5460,13262,2,Y,Yes,12,3,1,80,0,4,2,1,1,3,1,2
30,No,Travel_Rarely,655,Sales,15,4,Life Sciences,1,1133,1,Male,50,2,1,Manufacturing Director,4,Married,4026,15466,3,Y,No,13,3,4,80,2,11,2,3,2,2,0,3
36,No,Travel_Rarely,673,Research & Development,28,4,Other,1,1792,4,Male,100,3,2,Research Scientist,3,Married,7273,12200,4,Y,No,12,3,3,80,0,14,3,3,17,7,2,0
38,No,Travel_Rarely,732,Research & Development,7,2,Medical,1,222,1,Male,91,2,2,Healthcare Representative,4,Single,6592,10419,6,Y,No,17,3,3,80,1,9,2,4,0,8,0,2
30,No,Travel_Rarely,786,Research & Development,13,3,Other,1,163,3,Male,85,3,1,Laboratory Technician,3,Divorced,13216,13583,1,Y,No,13,3,2,80,1,4,2,3,7,1,1,2
47,No,Travel_Rarely,1221,Research & Development,2,2,Life Sciences,1,1545,4,Female,98,3,3,Healthcare Representative,1,Single,9952,4166,4,Y,No,11,3,3,80,2,21,2,3,4,2,1,3
36,No,Travel_Rarely,492,Research & Development,14,4,Medical,1,2038,3,Male,33,3,1,Laboratory Technician,4,Married,4912,22048,4,Y,No,14,3,1,80,0,12,3,4,8,4,1,2
32,No,Travel_Rarely,801,Sales,11,1,Medical,1,1115,3,Female,64,2,2,Research Scientist,4,Married,3258,5278,1,Y,No,25,4,2,80,1,4,3,2,4,10,0,2
35,No,Travel_Rarely,194,Sales,28,4,Medical,1,1804,4,Male,75,4,2,Manufacturing Director,4,Single,8799,5517,1,Y,No,17,3,3,80,1,4,1,2,16,8,1,9
22,No,Travel_Frequently,271,Research & Development,11,3,Medical,1,547,2,Female,37,3,1,Research Scientist,2,Divorced,4291,14594,0,Y,No,17,3,1,80,3,39,2,3,4,4,1,0
32,No,Travel_Rarely,1384,Sales,7,3,Medical,1,1759,3,Female,94,3,3,Sales Representative,3,Married,9921,8714,1,Y,Yes,12,3,1,80,0,5,2,3,0,3,0,5
30,Yes,Travel_Rarely,473,Research & Development,2,2,Marketing,1,212,3,Male,35,2,2,Manager,4,Single,6514,22879,6,Y,Yes,12,3,3,80,2,11,2,2,4,1,7,2
41,No,Travel_Rarely,1241,Research & Development,15,1,Medical,1,1935,3,Female,98,3,2,Research Scientist,4,Married,5264,13255,1,Y,Yes,14,3,4,80,0,13,2,4,11,4,0,6
32,Yes,Travel_Rarely,454,Research & Development,10,1,Medical,1,1063,4,Male,82,1,1,Sales Executive,1,Married,3908,22083,0,Y,Yes,12,3,1,80,2,1,3,3,11,0,0,8
39,Yes,Non-Travel,467,Sales,7,4,Life Sciences,1,1646,1,Female,87,2,2,Sales Executive,3,Married,4814,9883,6,Y,Yes,12,3,4,80,1,2,2,3,7,2,0,0
38,No,Travel_Rarely,291,Human Resources,1,4,Technical Degree,1,1642,1,Male,83,3,5,Laboratory Technician,2,Married,1310,23628,1,Y,No,12,3,4,80,0,13,3,3,6,0,3,2
45,No,Travel_Rarely,663,Research & Development,2,3,Medical,1,545,2,Female,49,3,2,Healthcare Representative,3,Single,18714,7027,1,Y,No,12,3,3,80,1,2,3,3,1,4,0,0
22,Yes,Travel_Rarely,846,Research & Development,5,2,Life Sciences,1,1202,4,Female,58,1,1,Laboratory Technician,1,Single,3039,4658,1,Y,Yes,11,3,3,80,1,28,3,4,5,7,5,0
30,No,Travel_Frequently,146,Research & Development,25,3,Life Sciences,1,1392,3,Male,92,3,3,Sales Executive,1,Married,4813,6580,2,Y,No,14,3,4,80,0,7,3,2,0,4,0,0
42,Yes,Travel_Frequently,141,Research & Development,25,2,Life Sciences,1,1676,2,Female,90,2,1,Research Scientist,4,Married,7081,22292,5,Y,Yes,11,3,3,80,0,19,2,1,16,9,0,13
43,Yes,Travel_Frequently,1497,Research & Development,6,3,Marketing,1,1151,4,Male,98,2,2,Sales Representative,1,Divorced,3110,8496,2,Y,Yes,11,3,4,80,1,1,4,3,1,3,0,7
35,No,Travel_Rarely,102,Research & Development,1,2,Medical,1,1711,3,Female,45,1,1,Human Resources,4,Single,4089,11435,1,Y,No,16,3,2,80,0,2,5,2,10,2,0,4
27,No,Travel_Rarely,137,Sales,27,3,Life Sciences,1,1522,4,Male,64,4,1,Research Scientist,4,Divorced,2672,5637,0,Y,No,24,3,3,80,0,8,3,3,15,0,0,1
31,No,Travel_Rarely,205,Sales,2,4,Marketing,1,1234,4,Female,31,2,1,Research Director,3,Single,3410,13471,2,Y,No,16,3,3,80,0,12,3,2,6,2,1,3
42,No,Travel_Rarely,859,Human Resources,11,1,Life Sciences,1,1499,2,Male,69,4,2,Laboratory Technician,4,Married,14261,26999,4,Y,No,16,3,2,80,2,7,2,3,12,5,1,0
40,No,Travel_Rarely,362,Research & Development,20,1,Technical Degree,1,270,4,Male,39,3,3,Laboratory Technician,3,Married,3239,17138,1,Y,No,12,3,3,80,0,9,2,3,15,7,1,0
46,No,Travel_Frequently,439,Sales,1,4,Marketing,1,1766,4,Male,95,2,2,Sales Executive,3,Divorced,5468,4483,1,Y,No,13,3,1,80,0,2,3,3,11,4,2,1
44,No,Travel_Rarely,518,Research & Development,16,4,Life Sciences,1,1165,1,Female,75,2,1,Research Scientist,4,Married,1250,14646,1,Y,No,18,3,4,80,2,33,4,4,3,1,1,2
26,No,Travel_Rarely,864,Sales,2,4,Other,1,469,4,Male,58,3,3,Sales Executive,4,Married,3515,4289,1,Y,Yes,16,3,1,80,0,35,1,3,5,8,2,2
56,No,Travel_Rarely,1232,Research & Development,6,3,Technical Degree,1,520,3,Male,66,3,2,Manufacturing Director,3,Single,2193,3959,2,Y,No,15,3,3,80,0,1,3,3,6,0,0,0
45,No,Travel_Frequently,264,Research & Development,4,4,Medical,1,276,3,Male,73,3,1,Sales Representative,1,Married,2239,25129,4,Y,No,14,3,3,80,0,14,5,2,2,4,0,7
40,No,Travel_Rarely,1010,Research & Development,2,3,Life Sciences,1,291,3,Male,88,3,2,Laboratory Technician,4,Divorced,2212,21742,6,Y,No,19,3,3,80,1,6,5,3,3,6,1,2
37,No,Travel_Rarely,856,Research & Development,2,2,Medical,1,1066,4,Male,89,3,2,Manager,4,Divorced,8228,15149,9,Y,Yes,15,3,3,80,1,2,2,3,6,3,2,0
43,Yes,Travel_Frequently,1170,Research & Development,7,4,Other,1,2068,2,Female,97,1,2,Research Scientist,4,Divorced,9513,13925,9,Y,Yes,12,3,4,80,0,8,3,3,4,0,4,8
31,No,Travel_Rarely,1150,Research & Development,10,2,Technical Degree,1,772,4,Male,96,4,1,Research Director,4,Single,12414,8339,1,Y,No,17,3,1,80,1,7,4,3,3,4,5,3
26,No,Travel_Rarely,1150,Sales,5,5,Marketing,1,1311,4,Female,97,4,3,Sales Executive,3,Married,2343,10229,0,Y,Yes,16,3,3,80,1,3,3,2,11,8,0,0
30,Yes,Travel_Frequently,102,Research & Development,4,1,Life Sciences,1,1841,4,Female,59,2,1,Laboratory Technician,4,Married,1570,4835,9,Y,Yes,13,3,2,80,1,3,2,2,15,7,1,12
50,No,Travel_Rarely,794,Sales,7,1,Life Sciences,1,100,1,Male,39,3,1,Sales Executive,1,Married,19999,18203,1,Y,No,11,3,4,80,0,7,3,3,9,6,2,1
52,No,Travel_Rarely,224,Research & Development,6,1,Medical,1,1672,2,Female,48,2,3,Sales Executive,3,Married,10002,16767,4,Y,No,19,4,2,80,0,0,4,2,0,6,0,3
37,No,Travel_Rarely,797,Sales,1,4,Life Sciences,1,1240,2,Female,84,3,1,Research Scientist,3,Divorced,1221,22117,3,Y,No,11,3,3,80,1,9,2,3,6,0,1,0
22,No,Travel_Rarely,1449,Sales,2,3,Life Sciences,1,1147,4,Female,58,2,2,Sales Executive,1,Single,2493,25814,3,Y,No,11,4,2,80,0,10,5,3,5,16,1,2
32,No,Travel_Rarely,1499,Research & Development,23,3,Medical,1,1120,4,Male,83,2,1,Research Scientist,1,Married,7734,22589,2,Y,No,14,3,3,80,0,6,3,3,9,1,2,0
47,No,Travel_Frequently,739,Research & Development,1,3,Marketing,1,1052,3,Female,42,3,1,Manager,4,Married,15928,11142,1,Y,Yes,11,3,1,80,1,14,2,3,1,6,0,16
42,No,Travel_Frequently,456,Research & Development,5,1,Marketing,1,1420,4,Male,79,2,3,Research Director,1,Married,15028,16428,2,Y,Yes,11,4,1,80,1,5,2,3,3,4,11,1
38,No,Travel_Rarely,988,Research & Development,12,4,Medical,1,188,4,Female,89,3,2,Laboratory Technician,2,Single,7767,23481,4,Y,No,15,3,4,80,3,25,4,3,0,9,0,3
27,No,Travel_Frequently,1061,Research & Development,4,1,Life Sciences,1,1884,3,Male,98,3,2,Sales Executive,3,Married,7970,13495,3,Y,No,12,3,1,80,1,32,2,3,3,3,0,1
34,No,Travel_Rarely,613,Research & Development,5,2,Technical Degree,1,1658,4,Female,97,3,1,Manager,3,Married,2286,13072,1,Y,No,11,3,2,80,0,20,3,3,1,4,3,0
48,No,Travel_Rarely,336,Research & Development,24,2,Life Sciences,1,742,4,Male,34,3,2,Sales Executive,3,Married,5753,7461,1,Y,No,12,3,1,80,0,14,2,3,9,7,0,0
50,No,Travel_Rarely,502,Sales,22,2,Medical,1,2039,4,Female,51,2,1,Research Director,2,Single,10626,21391,3,Y,No,22,3,4,80,2,1,2,3,17,2,0,7
28,No,Travel_Rarely,1161,Sales,8,3,Medical,1,2010,3,Male,32,3,1,Research Director,3,Divorced,3012,22452,6,Y,No,13,3,3,80,1,9,5,3,5,3,1,6
35,Yes,Travel_Frequently,1144,Research & Development,8,2,Life Sciences,1,1769,1,Male,97,3,3,Research Scientist,4,Married,4040,21214,4,Y,Yes,25,3,1,80,1,4,2,3,8,4,0,0
44,No,Travel_Rarely,1499,Research & Development,8,3,Life Sciences,1,2000,4,Male,99,2,3,Research Scientist,3,Divorced,2916,19046,6,Y,No,24,3,3,80,0,12,2,3,5,7,1,2
40,No,Travel_Frequently,1160,Sales,2,3,Life Sciences,1,1623,1,Male,71,3,1,Laboratory Technician,4,Single,6068,26999,7,Y,No,14,3,2,80,0,9,3,3,2,2,13,10
34,No,Travel_Rarely,1499,Sales,5,3,Medical,1,2054,4,Female,83,3,2,Sales Executive,2,Single,2760,6029,1,Y,No,13,3,2,80,0,2,2,3,8,4,0,0
40,No,Travel_Frequently,372,Research & Development,7,4,Marketing,1,191,2,Female,43,2,3,Research Director,3,Married,18664,24530,1,Y,No,16,3,3,80,1,21,2,3,0,7,2,0
36,No,Travel_Rarely,1332,Research & Development,8,2,Life Sciences,1,109,4,Female,84,3,2,Healthcare Representative,2,Single,4023,26788,5,Y,No,16,3,3,80,1,9,2,4,0,0,0,1
36,Yes,Travel_Rarely,1072,Sales,1,4,Medical,1,254,2,Female,62,3,2,Laboratory Technician,3,Divorced,3342,19603,3,Y,Yes,12,3,3,80,1,23,1,1,6,2,3,0
32,No,Travel_Rarely,986,Research & Development,5,3,Medical,1,1485,3,Female,64,3,3,Healthcare Representative,4,Single,19385,25378,2,Y,No,24,3,4,80,0,15,2,3,5,9,1,0
42,No,Travel_Rarely,254,Research & Development,6,3,Life Sciences,1,965,2,Male,34,1,2,Healthcare Representative,4,Married,2599,20727,0,Y,No,11,3,1,80,0,19,3,4,5,10,2,10
36,No,Non-Travel,212,Human Resources,1,4,Medical,1,99,4,Male,93,2,1,Sales Executive,1,Married,5316,5311,2,Y,No,13,3,4,80,2,7,1,3,2,1,0,8
21,No,Travel_Rarely,1283,Research & Development,14,1,Life Sciences,1,1246,2,Female,99,4,3,Healthcare Representative,3,Married,15745,2533,1,Y,Yes,12,3,3,80,0,5,3,2,11,10,0,0
35,No,Travel_Rarely,1379,Sales,3,4,Marketing,1,423,1,Female,89,3,2,Healthcare Representative,3,Married,6439,22938,1,Y,No,20,3,3,80,2,11,2,2,9,0,2,7
35,No,Travel_Rarely,1171,Research & Development,5,2,Medical,1,1682,3,Male,82,3,4,Healthcare Representative,1,Married,2888,15243,1,Y,No,12,3,4,80,2,11,3,3,8,3,1,4
57,No,Travel_Rarely,246,Sales,2,5,Life Sciences,1,166,3,Male,100,3,4,Healthcare Representative,2,Single,7131,22162,8,Y,No,15,3,3,80,1,11,3,3,5,2,2,3
23,No,Travel_Rarely,1123,Research & Development,1,2,Medical,1,56,2,Female,35,3,1,Research Scientist,4,Single,11631,14894,7,Y,Yes,12,3,3,80,0,25,5,3,3,7,8,16
54,No,Travel_Rarely,291,Research & Development,22,3,Other,1,2068,3,Female,52,3,3,Sales Executive,3,Divorced,12764,21643,4,Y,No,14,3,4,80,1,7,3,2,4,4,2,8
57,No,Travel_Frequently,860,Research & Development,3,3,Medical,1,312,4,Male,78,3,2,Research Scientist,4,Divorced,6407,4494,1,Y,No,13,3,3,80,0,23,5,3,15,0,2,1
32,Yes,Travel_Rarely,1267,Research & Development,1,2,Life Sciences,1,32,2,Male,59,2,2,Sales Executive,4,Single,4116,23498,9,Y,Yes,13,3,2,80,1,9,4,3,5,0,0,7
34,Yes,Travel_Rarely,703,Sales,11,3,Life Sciences,1,58,4,Male,47,3,1,Healthcare Representative,1,Divorced,10049,12764,1,Y,Yes,24,3,4,80,0,0,2,1,11,8,8,7
36,No,Travel_Rarely,916,Human Resources,20,1,Life Sciences,1,1805,2,Male,43,3,2,Research Scientist,3,Single,4414,10664,1,Y,No,14,3,3,80,1,9,4,2,2,1,9,8
35,No,Travel_Rarely,1429,Research & Development,1,3,Technical Degree,1,821,1,Female,94,3,2,Research Scientist,2,Divorced,8305,10627,8,Y,No,20,3,4,80,2,18,0,3,3,0,4,7
31,No,Travel_Frequently,1045,Research & Development,22,1,Medical,1,2068,2,Female,80,3,1,Sales Representative,3,Single,2600,9301,4,Y,No,16,3,2,80,0,1,1,3,5,3,7,3
34,No,Travel_Rarely,458,Research & Development,21,3,Medical,1,39,1,Male,74,3,1,Healthcare Representative,2,Married,18712,16477,0,Y,Yes,13,3,3,80,3,4,2,2,6,12,1,1
